Text items,Labels
"Although Biden didn’t mention those reports specifically, on Friday he suggested that states ― and the public ― could expect better from his administration. “You have my word, we will manage the hell out of this operation,” Biden said.",left
"The Biden plan also envisions new mass vaccination sites and mobile clinics ― with the federal government assisting state and local governments or, when necessary, operating clinics directly through the Federal Emergency Management Agency. Within the first month of his administration, Biden said, FEMA would be operating 100 mass vaccination centers around the country.",left
"For that reason, success will depend not simply on the policies but the people enacting them ― starting with officials like Jeff Zients, whom Biden had already tapped to run the COVID-19 response, and Andy Slavitt, whom Biden on Friday named to a temporary post on the administration’s COVID-19 team.",left
"On Monday, Trump’s Environmental Protection Agency made its latest Big Tobacco-like move in the war on public health when it declined to raise air quality standards for fine particulate matter. The decision flies in the face of mounting scientific evidence that air pollution is worsening the pandemic — not just by exacerbating the severity of Covid-19 symptoms, but by transporting the virus at greater distances through the air.",left
"Public health experts have been recommending that the EPA further restrict air pollution for years. Specifically, they’ve recommended reducing fine particulates, tiny dust specks about one-thirtieth the size of a human hair that make up about 90 percent of all U.S. air pollution. These specks are well known for triggering asthma, heart problems and about 100,000 deaths a year in the U.S.",left
"Republicans are scared. As Congress moves forward with the second impeachment of President Donald Trump, some GOP members of the House have quietly admitted that they were worried that voting to impeach the president could put them and their families in danger.",left
"Now, Trump is singing the same tune about outsiders, but with a slightly different hook: baselessly claiming that Democrats, buoyed by voters of color, stole our election in the hopes of hijacking America.",left
"Trump’s mob of supporters, captured for the world to see as they climbed the “big beautiful walls” of the Capitol, may have been motivated to riot and violence by false claims of voter fraud and a stolen election. But this most recent lie is a culmination of all the other lies and fears this president has stoked over the past four years.",left
"It’s tempting to think of the storming of the US Capitol on Wednesday as toxic masculinity run amok: a mob of mostly white men, carrying guns and wearing animal skins, trying to overthrow democracy on behalf of a president who once bragged about his ability to grab women “by the pussy.”",left
"White women have been part of white supremacy in America since the very beginning, experts point out, dating back to their role in slavery. “They were at the table when the system was designed,” Stephanie Jones-Rogers, a history professor at UC Berkeley and author of the book They Were Her Property: White Women as Slave Owners in the American South, told Vox. “They were co-architects of the system.”",left
"The implication is clear: If we want the pandemic to end as fast as possible, we need to pump the brakes right now. And we don’t have to wait for the vaccines to slow the spread of the virus. We simply need to do what we’ve been doing all along to prevent infections, just much, much better. At an individual level, that means avoiding optional gatherings with other people — even grocery trips — whenever possible, or cutting them very short",left
"But a new poll by the Pew Research Center suggests that the events of the last few weeks — a pro-Trump mob stormed the US Capitol, and then Trump was impeached for the second time in his presidency — are finally starting to weigh on Republican voters. The poll was conducted from January 8-12, so it was conducted entirely after the January 6 insurrection at the Capitol.",left
Republican senators will be more likely to do so if Trump is a toxic figure with the public at large. And they’ll be even more likely to do so if large numbers of their own base view Trump’s insurrectionist behavior as unforgivable.,left
The Justice Department’s association of Black lawyers put out a statement on Friday calling on leadership to investigate the “clear disparity” in how the pro-Trump insurrectionists who attacked the US Capitol last week were treated compared to Black Lives Matter demonstrators last summer.,left
"The Justice Department under the Trump administration lacked racial and gender diversity in leadership posts and actively worked to roll back civil rights protections and scale back programs meant to hold police departments accountable for misconduct and abuses. President-elect Joe Biden has pledged to reinvigorate the department’s civil rights work, and last week announced two longtime civil rights advocates as his nominees for top positions at the department",left
"Trump sold himself very effectively as an economic populist, boasting for years about the strength of the US economy under his leadership. But his tax overhaul cut taxes for the wealthy and for corporations; inequality reached new highs as billionaire wealth soared and investors made gains from the stock market while the poorest households hardly saw any improvements. Despite endorsing stimulus checks during the pandemic (checks bearing his name, in an election year), Trump has largely abandoned economic populism — and yet his base still follows him. It’s worth examining why.",left
"As Donald Trump nears the end of his term, he leaves behind an ambassadorial corps that is whiter than it’s been in more than 40 years. Only five of Trump’s 189 ambassadorial appointees were Black. No president since John F. Kennedy has appointed fewer Black ambassadors than Trump, according to research compiled by Carlton McLellan, a senior fellow at the Association of Black American Ambassadors.",left
"Trump did not create this problem, but his egregious lack of interest in addressing it has only heightened the concern for career staff, who plan to push Joe Biden’s incoming administration to make it a priority. Biden can diversify the department’s leadership and ambassador ranks, but fixing the Foreign Service requires addressing problems that extend back decades and have persisted through presidential administrations from both parties.  ",left
"Still, the effects of Trump’s abominable record on diversity could linger, making it more difficult for ambassadors to convincingly push foreign leaders to crack down on discrimination in their own countries. “If we mistreat marginalized [communities] or sideline minorities in this country, our message goes over like a lead balloon,” Charles Ray, a former ambassador to Zimbabwe and Cambodia, told me. ",left
"Biden has previously promised to extend the forbearance in the first days after his swearing-in. In a call with reporters on Thursday, administration officials said forbearance was still a priority for the president-elect, and that Biden would address the issue directly in the next phase of his recovery plan. They also reiterated Biden’s desire to make good on his promise to forgive up to $10,000 in student debt. Transition officials have expressed hope that the package will garner bipartisan support, so it can pass the Senate with 60 votes.",left
"Biden’s plan will give stimulus checks of up to $1,400 per individual or $2,800 per household. This amount, plus the $600 checks Americans received from the $900 billion stimulus package that President Trump signed last month, adds up to the $2,000-per-person promise Biden made while stumping for the Senate candidates in Georgia. But some progressive lawmakers, such as Rep. Alexandria Ocasio-Cortez (D-N.Y.), are calling on Biden to include a full $2,000 in his plan. Ocasio-Cortez accuses him of stopping short of his pledge: “$2,000 means $2,000;” she told the Washington Post, “$2,000 does not mean $1,400.”",left
"The Trump administration’s final attempt to sabotage the census is dead. On Friday, the Justice Department told a federal judge that the Census Bureau would not release data on the number of undocumented immigrants living in each state before Jan. 20. NPR’s Hansi Lo Wang first reported the DOJ’s filing. Donald Trump intended to use this data for the apportionment of congressional seats among states; his plan, if successful, would have stripped seats in the House of Representatives from states with large undocumented communities. Trump’s political appointees tried to rush out this data before the president’s term ends, but the task proved impossible. Joe Biden is certain to undo the directive, ensuring that congressional seats will be apportioned based on the entire population of each state—as required by the Constitution.",left
From Charlottesville to the Capitol: Trump Fueled Right-Wing Violence. It May Soon Get Even Worse,left
"Last week, as the smoke cleared from the shocking pro-Trump mob attack on the US Capitol, America's global reputation as a stable, strong democracy emerged badly damaged. Now, many are questioning whether it can ever regain the moral authority necessary to lead the world's democracies, fledgling or otherwise.",left
"But as for US foreign policy, once in office President-elect Joe Biden can move quickly down the list and cancel out the damaging foreign policies Trump has instituted, reversing the ""America first"" -- or, in some cases, ""Trump first"" -- attitude the current President has taken toward a host of global issues and hotspots.",left
"Trump has done damage to democracy's reputation globally in ways I never imagined I would see. President-elect Joe Biden is right to say it is ""fragile."" It is also precious, and effective. For now, it worked. Trump and the domestic terrorism he fomented were - in this moment - defeated. There turned out to be enduring values at the heart of even some of the most compromised American elected officials. That is not a global norm.",left
"Donald John Trump will be remembered as the only president in American history to be impeached on two separate occasions. He incited an insurrection that was in effect a frontal and physical assault on the constitutional order, the peaceful transfer of power, the vice president and the Congress itself. On top of an already shameful record, the events of January 6, 2021, will define Trump's legacy forever and stain the pages of American history.",left
"Under Trump, the GOP lost the House of Representatives in 2018 and the White House and the Senate in 2020. Even worse, the GOP may have lost its soul. It is now fractured between Trump supporters and those who want a clean break from him. While many House Republicans reportedly supported impeachment, only 10 courageous GOP members actually voted for it. If the Senate were to convict Trump and prohibit him from ever seeking high office again, many House Republicans would be most grateful and relieved. It's called ""hope yes, vote no.""",left
"The GOP representatives who voted in favor of impeachment represent geographically diverse areas. They rejected the procedural arguments of many of their Republican colleagues and directly addressed in their arguments the substance of what occurred last week. These members are to be commended for their exemplary leadership. Explaining his vote in support of impeachment, Don Newhouse (R-Washington), with simple eloquence, said it best: ""I will not use process as an excuse. There is no excuse for President Trump's actions.""",left
The sheer velocity of Donald Trump's false and misleading statements -- along with the proliferation of disinformation on social media -- have demanded significant fact-checking to defend liberal democracy.,left
"For the last four years, fact-checkers have had their hands full keeping up with President Donald Trump's unprecedented level of dishonesty. While The Washington Post reported that Trump had delivered more than 22,000 false or misleading claims and as of Oct. 22, a new editorial highlights the president's most dangerous lies over the course of his presidency.",left
"In fact, some of the disgraced president's notable claims likely helped to shape his presidency and the outcome of the 2020 presidential election. The publication reports that Trump's remarks insisting the coronavirus was ""under control."" From the beginning of the pandemic up to the grim point where the country is now, Trump has repeatedly claimed that his administration has had the coronavirus ""under control.""",left
"Trump's ""most depressing lie"" centers on his latest conspiracy about the election being stolen from him. In the months leading up to the presidential election, Trump repeatedly insisted if he lost the election, it would be because Democrats cheated.",left
That claim set the tone for Trump to justify losing the election which subsequently led to a barrage of other lies and conspiracy theories that inundated social media platforms with misinformation. That same lie also spawned the challenges lawmakers put in motion to contest the Electoral College certification that was interrupted by angry Trump supporters storming the U.S. Capitol.,left
"The fact that Trump appears to be meeting with someone still pursuing the idea that the election result was illegitimate and perhaps could still be overturned shows the danger of leaving him in office, even if he has released statements that seem to acknowledge Biden will be president by next week.",left
"""It won't happen, of course, but still a gentle reminder that the president is still completely batshit insane, heavily invested in his own conspiracy theories, and is going to spend his remaining hours listening to sycophants tell him how to burn various institutions down,"" said national security commentator Matt Tait on Twitter. ""Protip for impeachment managers is to print this out in really big and point at it with a telescopic pointer to remind senators that *one week* after the failed Capitol attack the president was having meetings with sycophants to talk about the 'insurrection act' and 'marshal law.'""",left
"Altogether, the visible information looks like a continuation of the election disinformation and false conspiracy theories that have been repeatedly debunked and that flopped in court. It also seems that Lindell has suggestions for how Trump should respond to this information using his remaining days as president, though the outline of the scheme is unclear. How seriously Lindell is taking these ideas is also not certain, though he has been a fervent and erratic defender of the president, and Trump's reception to the ideas is unknown.",left
"Donald Trump's attempted coup against our government was predictable. He had it all planned out. He would incite thousands of supporters to attack the Capitol, disrupt the proceedings of the Senate and find a way to maintain his grip on power. He knew full well that his violent insurrectionists had blood on their minds and that Speaker Nancy Pelosi and Vice President Mike Pence were in harm's way. He knew there was a chance that both Pelosi and Pence could be kidnapped or murdered. He did not care one whit. He was partying and celebrating as the attackers formed and began their deadly march. He was inciting an insurrection against the United States for his own personal gain. Democracy and human life were of no concern to him.",left
"But his efforts failed. The Senate was not overtaken. Joe Biden was certified as the next president. Pelosi and Pence were both safe. The attackers are being hunted down one by one and arrested. Trump has now been impeached for the second time, with 10 Republican members of Congress joining with every Democrat. Pence apparently contemplated the possibility of invoking the 25th Amendment (although he has now said he will not do so). The majority of Americans believe that Trump should be removed from office immediately for his treasonous behavior.",left
"After last week's insurrection attempt, Trump is now trying to act as if nothing out of the ordinary happened. What is the big deal if some looters swarmed through the Capitol? As he has always done, Trump relies on lies, denials, conspiracy theories and fake bravado to skirt through life and through his presidency. But rhetoric and actions are observable truth. And Trump's clear incitement of insurrection means he is a traitor. It means he disavowed the will of the people and the rule of law. It means his personal gain is more important than the Constitution and his oath of office.",left
"What should now be clear to everyone is that Donald Trump does not love democracy or our country. He is an authoritarian. He wants absolute authority and control over people. He loves adulation. He is a greedy opportunist. He is a master of demagoguery. He is corrupt and criminal. He is a traitor of the highest order. He was virtually the worst possible person to become president because everything about him is antithetical to our nation's principles and ideals. Being president is so much more than being rich. Personal character, love of democracy and love of country are far more compelling attributes.",left
"We should not be surprised that Trump's sadism and violence boiled over in response to his humiliating election defeat. He has been hell-bent on hanging onto power at any cost. He has been willing to throw anyone and anything under the bus to ensure his self-preservation and his survival. So a violent insurrection in the sacred halls of the Capitol was the perfect plan in his mind. A few deaths would be palatable, even entirely acceptable, if it meant he could remain in power.",left
"Trump is a cataclysmic problem that will be solved soon. He will be booted out, or simply leave. Social media platforms have banned him. Companies are halting their financial contributions to his party and his supporters. The PGA has pulled its 2022 championship tournament from his New Jersey golf course. More and more Americans are rejecting him by the day. His mantra as a traitor is beginning to take hold. Ultimately, it will be set in stone.",left
"Millions of supporters followed Trump for four years as if he were the pied piper. They did not realize or understand that he is a con man who thrives on hoodwinking and exploiting others. He lies every time he opens his mouth, and uses conspiracy theories and fear-mongering to seduce the allegiance of citizens who believe in him for various largely irrational reasons. Trump is no public servant, no brilliant businessman, no rich savant and no political leader. He is a fraud, a failure and a coward who ran for president in the first place to enhance his brand and make money off the public. Once in office, he became enthralled with power, adulation and grifting. He realized that being an authoritarian leader would allow him to express his sadistic and cruel tendencies — and that being a dictator would allow his racist and xenophobic and misogynistic impulses to run wild, without oversight or accountability. In the end, Trump decided that he wanted to remain in office so that he could establish an endless regime of Trumpism — all in his psychopathic image.",left
"Americans should have realized back in 2016 that Trump was a bad actor who had nefarious and cruel intentions. He did not want to protect and serve the people. The oath of office was a bunch of isolated words that had no meaning to him. It was all a big lie and a big con from the beginning. Trump believed he could pull it off because he had spent his entire life promulgating a kind of alternate universe, with the help of enablers and a host of lawyers.",left
"Trump's lies, conspiracy theories, magical thinking and corruption rapidly became normalized in our country, such that millions of Americans were radicalized. Fantasy and blather became more important than truth. Trump's alternate universe seemed to replace the real one. Our Constitution and the rule of law were corrupted. Our democracy was threatened. A psychopath was threatening democracy, and the media pretended not to notice. The opinions of mental health experts were rejected.",left
"Ultimately, the judicial system and our Constitution stood tall throughout this presidency. Elected Republican officials did not. They either drank the Kool-aid or saw loyalty to Trump as a vehicle for personal political advancement. Either way, the Republican Party has been complicit and anti-democratic. Some of its members, perhaps most of them, want to carry on the mantle of Trumpism despite its malicious and destructive impact on our democracy. They will face their reckoning in due time.",left
"Following complaints from Senators and employees, Facebook on Saturday said it was temporarily halting ads for gun accessories and military gear in the US through next week’s inauguration of President-elect Joe Biden",left
"While Facebook already prohibited advertisements for guns, ammunition and weapon enhancements like silencers, the company has still allowed ads for accessories including holsters and attachable flashlights and laser sights. Facebook users and employees noticed an uptick in ads for these products and military gear, including armored vests, on their newsfeeds in the days following a riot at the Capitol that left five people dead.",left
"Ads for tactical gear were also being shown to people who followed right-wing extremist pages or groups on the social network. Research from the Tech Transparency Project, a nonprofit industry watchdog group, showed that a Facebook account set up by the organization to follow pages belonging to militant and white nationalist organizations on Facebook was regularly served ads for military gear in between posts casting doubt on the presidential election and others praising the assault on the US Capitol.",left
"Fearing a repeat of the deadly Capitol siege by pro-Trump mobs, governors across the country are taking unprecedented security measures to protect their state capitols from violent attacks ahead of Joe Biden’s inauguration",left
A close look at those executed over the last six months shows that the federal death penalty is not reserved for the “worst of the worst” as some of its proponents contend. Instead it targets the most disadvantaged and disabled of those charged with capital crimes.,left
That is just one of the reasons why President-Elect Joe Biden should take decisive steps to end the federal death penalty and lead a campaign for nationwide abolition of capital punishment.,left
"Wrong! By Monday morning, Fox News had all but moved on from the story of the Capitol riot, so eager was the network to get back to yelling about the suppressive left. Consigning the Capitol story to a series of passing references, for three hours Fox & Friends made a passionate case for the right of extremely online MAGA propagandists to be able to harass, incite, and misinform people free from any and all consequences.",left
"No sentient observer should be surprised that Fox News has chosen to severely downplay the Capitol riot in order to instead spend hours whining about cancel culture. Choosing to miss the point in favor of another, much dumber point is what Fox News does. Whether reporting hysterically on a series of ginned-up nonscandals involving the Bidens and the Clintons in order to deflect attention away from the scandals engulfing the Trump administration; reporting breathlessly on the northward advance of a purportedly fearsome migrant caravan in the weeks preceding the 2018 midterm elections; pretending that “antifa” is a comprehensive and organized terror organization bent on burning America’s cities; or crying that Twitter plunged us all into some Orwellian thoughtcrime dystopia by deciding to ban the world’s biggest asshole from using its website after he riled up a deadly mob, Fox News has spent Trump’s entire presidency working tirelessly to make him look good by making the left look bad.",left
"As one example, Trump ally Ronna McDaniel—who retained her position last week as chairwoman of the Republican National Committee—has given typical statements saying “our country desperately needs to heal and unify” and that “the peaceful transition of power is one of our nation’s founding principles and is necessary for our country to move forward.” But nowhere in these statements did McDaniel acknowledge that Biden won the election by 7 million votes, winning the same number of Electoral College votes as Trump did in what he has described as his 2016 “landslide” victory. On Monday, I emailed the RNC to ask if McDaniel would affirm that Joe Biden won the election, with 81 million votes, and that there was no fraud or unlawful irregularities that affected the outcome.",left
"“Doubling down on use of the no-fly list will entrench an error-prone and unconstitutional system, and communities of color will continue to bear the brunt of it,” said Hina Shamsi, director of the American Civil Liberties Union’s National Security Project.",left
"“I think giving the government the ability to prevent people from flying on the basis of officers’ hunches, or on the basis of evidence that isn’t tested in court, is an invitation to unfairness and abuse,” said Jameel Jaffer, a civil liberties attorney and director of the Knight First Amendment Institute at Columbia University. “In my view, the government’s terrorism blacklists are a cautionary tale, not a promising model.”",left
"Yet I have come to realize that despite the scenes at the Capitol and all the violence that has broken out in this past year, with Trump supporting white nationalist militias, many Americans still truly believe that the kind of violence experienced by the “other” will somehow escape them. American exceptionalism, even when it’s falling apart right in front of your eyes, somehow remains prevalent.",left
"This exceptionalism, which allows many Americans to convince themselves that national breakdown takes place in foreign lands only, will undoubtedly have grave consequences. If it continues, Americans will not be prepared to deal with the inevitable rise and power of fascism. As someone who saw firsthand what ignoring nationalism does to a people and a country and the horrors it leads to, I implore those who choose to believe in American exceptionalism: Confront the horrors of this country’s past. Only then will you have a standing chance of beating the tide of rising fascism.",left
"The incoming Biden administration has said that it will “immediately reverse the Trump Administration’s cruel and senseless policies that separate parents from their children at our border.” The incoming administration has also pledged to convene a task force to reunite families who are still separated, though it has not offered specific details on that initiative. The American Civil Liberties Union, which has an active lawsuit against the federal government over its family separation policy, called for more. “The barbaric family separation practice was immoral and illegal,” Lee Gelernt, the organization’s lead attorney in that litigation, said in a statement Thursday. “The incoming administration must reunite the separated families in the United States, but we cannot stop there. These families deserve citizenship, resources, care, and a commitment that family separation will never happen again.”",left
"Trump's long White House campaign against verifiable reality has culminated with his lie that he is the true winner of the 2020 presidential election he clearly, certifiably and fairly lost.",left
"Those numbers fail to paint a complete picture, however, since testing delays and a scarcity of tests likely left many Covid-19 cases and deaths undiagnosed, especially during the outbreak’s early stages.",left
"In just the first few weeks of 2021, the United States reported its highest-ever numbers of daily new infections, hospitalizations and deaths.",left
"Covid-19 has killed at least 395,385 people and infected about 23.7 million in the United States since last January, according to data by Johns Hopkins University.",left
"The presidency of Donald Trump has left such a wretched stench in Europe that it's hard to see how, even in four years, Joe Biden could possibly get America's most important alliance back on track.",left
"""The arrival of a Biden administration has yet to be embraced with the same fanfare as Obama as President-elect, because Trump has done more damage to the relationship than George W. Bush. Trump's outward aggression affected all aspects of European life, be it trade, defense or even the emotional shared ideas and cultural ties. All those things suddenly seem debased and of less value.""",left
"Regardless, the Trump era has left Europeans with little choice but to wait and see how much of a priority Biden places on reclaiming America's place on the world stage. And they will use the four years of relative quiet under Biden to build safeguards against the all too real possibility of another Euroskeptic firestarter winning the White House in 2024.",left
"As the attack on the US Capitol took place, it is not hard to imagine Putin looking on with glee. And it came after four years of Trump seeming to fulfill Putin's wish list, from publicly casting doubt on Putin's meddling in the 2016 US election (which was aimed at sweeping Trump into power), weakening NATO and perpetually attacking the US media to discrediting the American electoral process.",left
"Trump's administration has repeatedly attacked the rules-based multilateral system, on the basis that America has been shortchanged by unfair rules and a disproportionate burden of cost. In keeping with that sentiment, Trump's America has withdrawn from the Paris climate accord, the World Health Organization (WHO), UNESCO and other international bodies in which the US formerly took a leading role.",left
"But as for US foreign policy, once in office President-elect Joe Biden can move quickly down the list and cancel out the damaging foreign policies Trump has instituted, reversing the ""America first"" -- or, in some cases, ""Trump first"" -- attitude the current President has taken toward a host of global issues and hotspots.",left
"Since Trump was impeached for attempting to lure Ukraine into opening an investigation that would tarnish the reputation of Biden, his domestic political rival, Ukraine has been in crisis. Almost two years since President Volodymyr Zelensky won a landslide victory, the country has fallen into an alarming backslide, witnessing the erosion of the very reforms then-Vice President Biden pushed for as the Obama administration sought to transition Ukraine away from its dependence on Russia and toward EU-style governance standards.",left
"The November election was anything but a mass repudiation of Trumpism and his America-first policies- - in a way, it is most notable that so many Americans chose Trumpism again after four years of it -- but I find it difficult to believe that the majority of Americans are prepared to see the US exit from the world stage.",left
"President Trump has personified this dissent, but the effort to delegitimize, de-platform, and ultimately destroy him and anyone around him is merely the opening scene of the “Godfather”-like settling of scores with all who threaten the ruling class’s power and privilege. This effort will directly harm not just the thousands of peaceful patriots who had descended on Washington D.C., and their tens of millions of like-minded neighbors across the country, but all Americans.",right
"They have made no secret of their agenda, which includes such items as mass amnesty for illegal aliens, statehood for Washington, D.C., statehood for Puerto Rico, and federal enshrinement of mail-in voting through a re-upped H.R. 1. Needless to say, total leftist political control will erode liberty and justice, and be used to target dissenters in cruel and unusual ways.",right
The left has already said it is making lists to prevent Trump administration personnel from getting jobs in the private sector. What’s to stop them or their allies in the media and corporate America from doing the same to any of us?,right
"“I was going down to hear Donald Trump speak and then peacefully march and then go home,” Pensinger said. “I was not there because I’m a white supremacist. I was not there because I support violence. I felt that there were some concerns about election integrity in this past election, you know, with Donald Trump and Joe Biden, and I feel as though a lot of the election concerns were, in a sense, swept under the rug by Democrats.”",right
The left's 'both sides' media critique is extremely dangerous both because it's deeply flawed and because it's fashionable in corporate media circles.,right
"Senate Majority Leader Mitch McConnell made a terrible mistake Tuesday night when he released word that he was in favor of impeaching President Donald Trump. This mistake goes well beyond a simple political miscalculation. It is the physical manifestation of Washington Republican hubris, wrapped in a fog of frightened groupthink.",right
"McConnell’s plan was a very, very stupid plan; the kind more typically floated by a Politico reporter whose only friends work for Pelosi than by a veteran senator with a reputation for strategically doing nothing in the face of Democratic pressure to make a move.",right
"We’re beyond censorship now, folks. There’s a new system coming to big cities and small towns alike — and there’s no room for conservatives in it. Why, exactly, is this happening after years of tolerated and often celebrated political violence? Because this time, the mob wore red hats.",right
"In yet another inciting tweet from left-wing celebrities, far-left actor Alec Baldwin chose civil rights activist Martin Luther King Jr.’s birthday to describe a “dream” he had which included a noose hanging outside of a courthouse during President Donald Trump’s “sedition” trial.",right
Democrats are again considering legislation to provide their wealthy blue state donors with billions by ending the cap on a tax deduction.,right
"As President-elect Joe Biden has released his $1.9 trillion Chinese coronavirus relief package that offers $1,400 stimulus checks to working and middle class Americans, rather than the $2,000 checks that President Trump had requested, Democrats are resurrecting their goal of providing tax breaks to the wealthiest of Americans, mostly concentrated in coastal blue states.",right
"Biden’s amnesty plan would need to garner support from a handful of 28 House Democrats who barely won their seats in the 2020 election and who will be up for reelection again in 2022. Those Democrats include Reps. Tom Malinowski (D-NJ), Lauren Underwood (D-IL), Cindy Axne (D-IA), Abigail Spanberger (D-VA), Angie Craig (D-MN), and Conor Lamb (D-PA).",right
"Such an amnesty would be a boon to the corporate interests that the Chamber represents as the business lobby, Wall Street investors, and Big Tech seek to slash wages and widen profit margins by inflating the U.S. labor market with millions of foreign competitors to working and middle class Americans.",right
"Annually, more than 1.2 million legal immigrants are awarded green cards, and another 1.4 million foreign nationals are given visas. These totals are in addition to the hundreds of thousands of illegal aliens who are added to the U.S. population every year.",right
"Meanwhile, the mass of the unlucky and the persecuted in China—including Christians, the newly subjugated people of Hong Kong, followers of Falun Gong, and Uyghur Muslims, together numbering a hundred million souls or more—suffer greatly. And that leaves the remaining population of China, some 1.2 billion, merely fearful of a midnight visit from the police, as well as all the other restrictions that come from China’s mostly totalitarian system",right
"There’s no doubt that the virus came from China; the main question is whether or not it was from the wild, or from a laboratory, specifically, the Wuhan Institute of Virology. As this author noted in April, leading Republicans, including Sens. Tom Cotton, Ted Cruz, and Josh Hawley, were even then pushing for a full investigation of the virus’s origins. Not surprisingly, the Chinese have stonewalled. As Dr. Anthony Fauci said on January 7, looking back at the beginning of the virus crisis, “Some things were known by the Chinese and they weren’t very transparent about it.” ",right
"Indeed, over the summer, WHO seemed notably uncurious about the origins of Covid, and overly eager to blame everyone other than China. This Sino-favoritism provoked Secretary of State Mike Pompeo to snap that its chief, Dr. Tedros Adhanom Ghebreyesus, had been “bought” by the Chinese.  ",right
"Friday’s Rasmussen poll showed Trump’s approval rating standing firm at 48 percent, indicating that the Capitol riot and subsequent impeachment in the House have yet to affect his standing with supporters.",right
"The World Watch List, published by the Christian aid organization Open Doors every year since 1992, placed Mexico at number 37 on this year’s list following a year in which Mexico was absent from the report. Even though Christianity is the majority religion in Mexico, Christians are targeted for persecution when their faith threatens powerful institutions, the Watch List said.",right
Various left-wing writers (some of them nominally Republican) have been salivating over the prospects of a GOP civil war. Nothing would make them happier than to see Republicans tearing each other apart in a fight over President Trump and the future of the GOP.,right
It is a sign of how self-delusional the anti-Trump forces are that they could look at the House of Representatives vote on impeaching President Trump (for the second time) and convince themselves this is the harbinger of a Republican civil war.,right
The dramatic drop in stock prices for Twitter and Facebook (the companies have lost a combined $51 billion in market value after banning Trump) are early warnings that arrogant companies that think they can bully the American people may be running big financial risks.,right
"If a conservative social media spring up, they will financially cripple the seemingly invulnerable Internet giants, cost their founders a lot of money, and further drive the United States into a tribalized society in which the social media you use further define who you are.",right
"When Marriott announced it will cut off donations to pro-Trump Republicans, it created a risk that 74 million Americans will decide to stay in other hotels and motels. When Nike continues to use slave labor courtesy of the Chinese Communist dictatorship, it risks millions of Americans seeking an alternative shoe. When web-hosting platforms like Google, Amazon and Apple conspire to apply ideological tests for the apps they carry, they may find they’ve created a niche for competition. The list goes on.",right
